model,train_dataset,layer_type,layer,num_samples,eval_dataset,split_seed,train_size,test_size,train_hall,train_not_hall,test_hall,test_not_hall,fit_time_s,model_params,precision,recall,accuracy,f1,auroc,total_runtime_s,num_splits,created_at_utc
Llama-3.1-8B-Instruct,belief_bank_facts,attn,0,27416,belief_bank_facts,2,2760,8225,1380,1380,591,7634,11.518,4097,0.44288079470198677,0.9052453468697124,0.9113677811550152,0.594774874930517,0.9546252471909664,66.564,10,2026-07-19T22:36:55.216191+00:00
Llama-3.1-8B-Instruct,belief_bank_facts,attn,0,27416,belief_bank_facts,4,2760,8225,1380,1380,591,7634,11.0566,4097,0.47297297297297297,0.9475465313028765,0.9203647416413374,0.6309859154929578,0.9632277809620955,78.331,10,2026-07-19T22:36:55.216191+00:00
Llama-3.1-8B-Instruct,belief_bank_facts,attn,0,27416,belief_bank_facts,24,2760,8225,1380,1380,591,7634,10.4128,4097,0.4700342465753425,0.9289340101522843,0.9196352583586627,0.6242183058555998,0.9603933688765239,89.43,10,2026-07-19T22:36:55.216191+00:00
Llama-3.1-8B-Instruct,belief_bank_facts,attn,0,27416,belief_bank_facts,42,2760,8225,1380,1380,591,7634,11.1257,4097,0.4246575342465753,0.9441624365482234,0.9040729483282675,0.5858267716535434,0.9612801754728934,101.247,10,2026-07-19T22:36:55.216191+00:00
Llama-3.1-8B-Instruct,belief_bank_facts,attn,0,27416,belief_bank_facts,64,2760,8225,1380,1380,591,7634,11.2751,4097,0.48272807794508416,0.922165820642978,0.9234042553191489,0.6337209302325582,0.9518673030573438,113.243,10,2026-07-19T22:36:55.216191+00:00
Llama-3.1-8B-Instruct,belief_bank_facts,attn,0,27416,belief_bank_facts,67,2760,8225,1380,1380,591,7634,11.2888,4097,0.44435548438751,0.9390862944162437,0.9112462006079027,0.6032608695652174,0.9555263499696567,125.234,10,2026-07-19T22:36:55.216191+00:00
Llama-3.1-8B-Instruct,belief_bank_facts,attn,0,27416,belief_bank_facts,104,2760,8225,1380,1380,591,7634,10.4297,4097,0.43390357698289267,0.9441624365482234,0.9074772036474165,0.5945657964837506,0.9586741698350996,136.362,10,2026-07-19T22:36:55.216191+00:00
Llama-3.1-8B-Instruct,belief_bank_facts,attn,0,27416,belief_bank_facts,123,2760,8225,1380,1380,591,7634,11.2141,4097,0.4447096260938743,0.9458544839255499,0.9112462006079027,0.604978354978355,0.965508742392547,148.293,10,2026-07-19T22:36:55.216191+00:00
Llama-3.1-8B-Instruct,belief_bank_facts,attn,0,27416,belief_bank_facts,420,2760,8225,1380,1380,591,7634,8.8277,4097,0.4393700787401575,0.9441624365482234,0.9094224924012158,0.599677592692101,0.9628793530766936,157.84,10,2026-07-19T22:36:55.216191+00:00
Llama-3.1-8B-Instruct,belief_bank_facts,attn,0,27416,belief_bank_facts,511,2760,8225,1380,1380,591,7634,9.1704,4097,0.4307931570762053,0.937394247038917,0.9065045592705168,0.5903036760788493,0.9591115886848709,167.729,10,2026-07-19T22:36:55.216191+00:00
